Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,8463.436
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,15936800636.2487
Afghanistan,AFG,"Population, total",SP.POP.TOTL,28803167
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4598.418
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,11926953258.916
Albania,ALB,"Population, total",SP.POP.TOTL,2913021
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,119177.5
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,161207268655.392
Algeria,DZA,"Population, total",SP.POP.TOTL,36117637
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,576000000
American Samoa,ASM,"Population, total",SP.POP.TOTL,55637
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,517.047
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3355695364.23841
Andorra,AND,"Population, total",SP.POP.TOTL,84449
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,29057.308
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,82470913120.7314
Angola,AGO,"Population, total",SP.POP.TOTL,23369131
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,524.381
Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1152469074.07407
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94661
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,187919.082
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,423627422092.49
Argentina,ARG,"Population, total",SP.POP.TOTL,41223889
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,4217.05
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,9260284937.79782
Armenia,ARM,"Population, total",SP.POP.TOTL,2877311
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,2508.228
Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2467703910.61453
Aruba,ABW,"Population, total",SP.POP.TOTL,101669
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,390861.863
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1142876772659.21
Australia,AUS,"Population, total",SP.POP.TOTL,22031750
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,67502.136
Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,391892746544.69
Austria,AUT,"Population, total",SP.POP.TOTL,8363404
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,30678.122
Azerbaijan,AZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,52902703376.1056
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9054332
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,1653.817
"Bahamas, The",BHS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7910000000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,360832
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,29266.327
Bahrain,BHR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,25713271276.5957
Bahrain,BHR,"Population, total",SP.POP.TOTL,1240862
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,59937.115
Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,115279077465.226
Bangladesh,BGD,"Population, total",SP.POP.TOTL,152149102
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1477.801
Barbados,BRB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4461650000
Barbados,BRB,"Population, total",SP.POP.TOTL,279569
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,63043.064
Belarus,BLR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,57222490768.7143
Belarus,BLR,"Population, total",SP.POP.TOTL,9490583
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,110824.074
Belgium,BEL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,483548031197.108
Belgium,BEL,"Population, total",SP.POP.TOTL,10895586
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,539.049
Belize,BLZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1397113450
Belize,BLZ,"Population, total",SP.POP.TOTL,321608
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,5089.796
Benin,BEN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6970240895.49888
Benin,BEN,"Population, total",SP.POP.TOTL,9199259
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,608.722
Bermuda,BMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5744414000
Bermuda,BMU,"Population, total",SP.POP.TOTL,65124
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,487.711
Bhutan,BTN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1585472534.10547
Bhutan,BTN,"Population, total",SP.POP.TOTL,727641
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,15203.382
Bolivia,BOL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,19649631308.1648
Bolivia,BOL,"Population, total",SP.POP.TOTL,9918242
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,21275.934
Bosnia and Herzegovina,BIH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,17176781336.7644
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3722084
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,4686.426
Botswana,BWA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,12786654365.8738
Botswana,BWA,"Population, total",SP.POP.TOTL,2014866
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,419754.156
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2208871646202.82
Brazil,BRA,"Population, total",SP.POP.TOTL,196796269
British Virgin Islands,VGB,CO2 emissions (kt),EN.ATM.CO2E.KT,172.349
British Virgin Islands,VGB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,27224
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,8203.079
Brunei Darussalam,BRN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,13707370737.0737
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,388662
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,44114.01
Bulgaria,BGR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,50610031135.7791
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7395599
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,1961.845
Burkina Faso,BFA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8979966766.07232
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,15605217
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,212.686
Burundi,BDI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2026864469.36388
Burundi,BDI,"Population, total",SP.POP.TOTL,8766930
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,557.384
Cabo Verde,CPV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1664310769.55229
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,502384
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,5012.789
Cambodia,KHM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,11242275198.9783
Cambodia,KHM,"Population, total",SP.POP.TOTL,14308740
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,6780.283
Cameroon,CMR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,26143818509.6421
Cameroon,CMR,"Population, total",SP.POP.TOTL,19970495
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,534670.602
Canada,CAN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1613464422811.13
Canada,CAN,"Population, total",SP.POP.TOTL,34005274
