"","Country Name","Country Code","CO2","GDP","POP","CO2pc","GDPpc","CO2pcdev","GDPpcdev","CO2pcln","GDPpcln"
"1","Afghanistan","AFG",8463.436,15936800636.2487,28803167,0.000293836993688923,553.300289383063,-0.00456848966227051,-13418.001812365,-8.13248538762103,6.31590087291687
"4","Albania","ALB",4598.418,11926953258.916,2913021,0.00157857358391855,4094.35883191917,-0.00328375307204088,-9876.94326982891,-6.45123363469635,8.31736541062636
"7","Algeria","DZA",119177.5,161207268655.392,36117637,0.00329970368770249,4463.3946748895,-0.00156262296825694,-9507.90742685858,-5.71392260614652,8.40366489336318
"13","Andorra","AND",517.047,3355695364.23841,84449,0.00612259470212791,39736.3540626699,0.00126026804616848,25765.0519609218,-5.09576930137225,10.5900217671227
"16","Angola","AGO",29057.308,82470913120.7314,23369131,0.00124340558491456,3529.05348173757,-0.00361892107104487,-10442.2486200105,-6.68990122449158,8.16878497848749
"19","Antigua and Barbuda","ATG",524.381,1152469074.07407,94661,0.00553956750932274,12174.6978594571,0.000677240853363306,-1796.60424229096,-5.19583884817958,9.40711513117116
"22","Argentina","ARG",187919.082,423627422092.49,41223889,0.00455849961171786,10276.2604977053,-0.000303827044241579,-3695.04160404273,-5.39076174211693,9.23759170801603
"25","Armenia","ARM",4217.05,9260284937.79782,2877311,0.00146562189488728,3218.38165488465,-0.00339670476107216,-10752.9204468634,-6.52547562495889,8.07663392054621
"28","Aruba","ABW",2508.228,2467703910.61453,101669,0.0246705288731078,24271.9404205267,0.0198082022171484,10300.6383187786,-3.70214591076601,10.0970762469267
"31","Australia","AUS",390861.863,1142876772659.21,22031750,0.0177408450531619,51874.0804819958,0.0128785183972025,37902.7783802477,-4.03188566776951,10.8565745317276
"34","Austria","AUT",67502.136,391892746544.69,8363404,0.00807113180231399,46858.0432733717,0.00320880514635455,32886.7411716236,-4.81946155841591,10.7548779543263
"37","Azerbaijan","AZE",30678.122,52902703376.1056,9054332,0.00338822587905988,5842.80578358576,-0.00147410077689955,-8128.49631816232,-5.68744883409006,8.6729664028416
"40","Bahamas, The","BHS",1653.817,7.91e+09,360832,0.0045833434950337,21921.5590634977,-0.000278983160925735,7950.25696174962,-5.38532652644186,9.99522586369224
"43","Bahrain","BHR",29266.327,25713271276.5957,1240862,0.0235854808995682,20722.1038895507,0.0187231542436088,6750.80178780265,-3.74712397239366,9.93895623028966
"46","Bangladesh","BGD",59937.115,115279077465.226,152149102,0.000393936699015154,757.671757176891,-0.00446838995694428,-13213.6303445712,-7.83932032397201,6.63025025382912
"49","Barbados","BRB",1477.801,4461650000,279569,0.00528599737453008,15959.0297922874,0.000423670718570646,1987.72769053934,-5.24269395948384,9.67778007919909
"52","Belarus","BLR",63043.064,57222490768.7143,9490583,0.00664269666046859,6029.39679982929,0.00178037000450916,-7941.90530191878,-5.0142372743751,8.70440225152177
"55","Belgium","BEL",110824.074,483548031197.108,10895586,0.0101714652153634,44380.1766327307,0.00530913855940392,30408.8745309826,-4.58816900699197,10.7005481764861
"58","Belize","BLZ",539.049,1397113450,321608,0.00167610569388821,4344.15017661252,-0.00318622096207122,-9627.15192513556,-6.39128221573152,8.3765854320596
"61","Benin","BEN",5089.796,6970240895.49888,9199259,0.000553283259010318,757.695907409377,-0.00430904339694912,-13213.6061943387,-7.49964046514127,6.63028212758894
"64","Bermuda","BMU",608.722,5744414000,65124,0.00934712241262822,88207.3275597322,0.00448479575666878,74236.0254579841,-4.67268674640567,11.3874453174525
"67","Bhutan","BTN",487.711,1585472534.10547,727641,0.000670263220461739,2178.92138307966,-0.0041920634354977,-11792.3807186684,-7.30784005637024,7.68658525493609
"70","Bolivia","BOL",15203.382,19649631308.1648,9918242,0.00153287064380966,1981.16070450437,-0.00332945601214978,-11990.1413972437,-6.48061306372929,7.59143816632819
"73","Bosnia and Herzegovina","BIH",21275.934,17176781336.7644,3722084,0.00571613483199197,4614.8290411405,0.000853808176032536,-9356.47306060758,-5.16446243067068,8.43703010207756
"76","Botswana","BWA",4686.426,12786654365.8738,2014866,0.00232592440390577,6346.15620387351,-0.00253640225205367,-7625.14589787457,-6.06363772588425,8.75560458638063
"79","Brazil","BRA",419754.156,2208871646202.82,196796269,0.00213293757108779,11224.1540829355,-0.00272938908487164,-2747.1480188126,-6.15025510804699,9.32582334967591
"85","Brunei Darussalam","BRN",8203.079,13707370737.0737,388662,0.0211059455259326,35268.1011703581,0.0162436188699731,21296.79906861,-3.858200499712,10.4707341848191
"88","Bulgaria","BGR",44114.01,50610031135.7791,7395599,0.0059649002061902,6843.26328885315,0.00110257355023076,-7128.03881289492,-5.12186295346488,8.83101998585944
"91","Burkina Faso","BFA",1961.845,8979966766.07232,15605217,0.000125717252121518,575.446452687734,-0.00473660940383792,-13395.8556490603,-8.98147520340456,6.3551461789811
"94","Burundi","BDI",212.686,2026864469.36388,8766930,2.42600317328871e-05,231.194325649216,-0.00483806662422655,-13740.1077760989,-10.626680346416,5.44325859345731
"97","Cabo Verde","CPV",557.384,1664310769.55229,502384,0.00110947800885379,3312.82598480901,-0.00375284864710565,-10658.4761169391,-6.80386563655977,8.10555687596086
